"","gene","name","geneid","NCBI"
"5071","ISCA2","iron-sulfur cluster assembly 2",423352,"XP_004941850.1"
"5072","ISCU","iron-sulfur cluster assembly enzyme",416891,"XP_003642230.3"
"5073","ISL1","ISL LIM homeobox 1",396383,"NP_990745.1"
"5074","ISL2","ISL LIM homeobox 2",396382,"XP_015134509.1"
"5075","ISLR","immunoglobulin superfamily containing leucine rich repeat",769957,"XP_001233273.1"
"5076","ISLR2","immunoglobulin superfamily containing leucine rich repeat 2",429941,"NP_001038132.1"
"5077","ISM1","isthmin 1",416740,"XP_015139010.1"
"5078","ISM2","isthmin 2",428897,"XP_015143210.1"
"5079","ISOC1","isochorismatase domain containing 1",415601,"XP_413969.2"
"5080","IST1","IST1 factor associated with ESCRT-III",415877,"XP_015148205.1"
"5081","ISX","intestine specific homeobox",418060,"XP_004937856.1"
"5082","ISY1","ISY1 splicing factor homolog",415968,"XP_414311.1"
"5083","ISYNA1","inositol-3-phosphate synthase 1",107055367,"XP_015155629.1"
"5084","ITCH","itchy E3 ubiquitin protein ligase",419145,"XP_417330.2"
"5085","ITFG1","integrin alpha FG-GAP repeat containing 1",415742,"NP_001005840.1"
"5086","ITFG2","integrin alpha FG-GAP repeat containing 2",418262,"XP_004938146.1"
"5087","ITGA1","integrin subunit alpha 1",395951,"NP_990400.1"
"5088","ITGA2","integrin subunit alpha 2",100857227,"XP_003643030.2"
"5089","ITGA3","integrin subunit alpha 3",373946,"NP_989477.1"
"5090","ITGA4","integrin subunit alpha 4",424121,"XP_421974.3"
"5091","ITGA6","integrin subunit alpha 6",396226,"NP_990620.1"
"5092","ITGA6","integrin subunit alpha 6",396226,"XP_015145127.1"
"5093","ITGA7","integrin subunit alpha 7",101749098,"XP_015128074.1"
"5094","ITGA8","integrin subunit alpha 8",396225,"NP_990619.1"
"5095","ITGA9","integrin subunit alpha 9",420757,"NP_001012876.1"
"5096","ITGA11","integrin subunit alpha 11",415560,"XP_015147702.1"
"5097","ITGAV","integrin subunit alpha V",396420,"NP_990770.1"
"5098","ITGB1","integrin subunit beta 1",374058,"NP_001034343.2"
"5099","ITGB1","integrin subunit beta 1",374058,"XP_015136746.1"
"5100","ITGB1BP1","integrin subunit beta 1 binding protein 1",421928,"NP_001264964.1"
"5101","ITGB1BP1","integrin subunit beta 1 binding protein 1",421928,"XP_015131515.1"
"5102","ITGB1BP2","integrin subunit beta 1 binding protein 2",422208,"XP_420200.3"
"5103","ITGB2","integrin subunit beta 2",396181,"NP_990582.1"
"5104","ITGB3BP","integrin subunit beta 3 binding protein",424689,"NP_001038123.1"
"5105","ITGB4","integrin subunit beta 4",417374,"XP_015150814.1"
"5106","ITGB5","integrin subunit beta 5",395142,"NP_989814.1"
"5107","ITGB6","integrin subunit beta 6",424191,"XP_004942881.1"
"5108","ITGB8","integrin subunit beta 8",395470,"XP_015137347.1"
"5109","ITGBL1","integrin subunit beta like 1",418769,"XP_416966.3"
"5110","ITIH2","inter-alpha-trypsin inhibitor heavy chain 2",419110,"NP_001124213.1"
"5111","ITIH3","inter-alpha-trypsin inhibitor heavy chain 3",415901,"XP_414253.4"
"5112","ITIH5","inter-alpha-trypsin inhibitor heavy chain 5",419111,"XP_015149802.1"
"5113","ITM2A","integral membrane protein 2A",422145,"NP_001012589.1"
"5114","ITM2B","integral membrane protein 2B",395969,"NP_990416.2"
"5115","ITM2C","integral membrane protein 2C",424831,"NP_001264347.1"
"5116","ITPA","inosine triphosphatase",424390,"NP_001258859.1"
"5117","ITPK1","inositol-tetrakisphosphate 1-kinase",423421,"NP_001012606.1"
"5118","ITPKA","inositol-trisphosphate 3-kinase A",395694,"NP_990212.1"
"5119","ITPR1","inositol 1,4,5-trisphosphate receptor type 1",395412,"XP_015148438.1"
"5120","ITPR2","inositol 1,4,5-trisphosphate receptor type 2",418212,"XP_015146927.1"
"5121","ITPR3","inositol 1,4,5-trisphosphate receptor type 3",419910,"XP_015154473.1"
"5122","ITPRIP","inositol 1,4,5-trisphosphate receptor interacting protein",428979,"XP_004942325.2"
"5123","ITPRIPL2","ITPRIP like 2",771589,"XP_003642171.3"
"5124","ITSN1","intersectin 1",418506,"XP_015155503.1"
"5125","ITSN2","intersectin 2",421979,"XP_419989.4"
"5126","IVD","isovaleryl-CoA dehydrogenase",423011,"NP_001186490.1"
"5127","IVNS1ABP","influenza virus NS1A binding protein",426862,"XP_015146068.1"
"5128","IWS1","interacts with SUPT6H, CTD assembly factor 1",424750,"XP_015132685.1"
"5129","IWS1","interacts with SUPT6H, CTD assembly factor 1",424750,"XP_422571.4"
"5130","IYD","iodotyrosine deiodinase",421631,"XP_419670.2"
"5131","JADE1","jade family PHD finger 1",422502,"XP_015132109.1"
"5132","JADE2","jade family PHD finger 2",416315,"XP_015149577.1"
"5133","JADE3","jade family PHD finger 3",418674,"XP_015133233.1"
"5134","JAG2","jagged canonical Notch ligand 2",776138,"XP_001235689.2"
"5135","JAGN1","jagunal homolog 1",107054427,"XP_015148836.1"
"5136","JAK1","Janus kinase 1",395681,"XP_015146451.1"
"5137","JAK2","Janus kinase 2",374199,"NP_001025709.2"
"5138","JAK3","Janus kinase 3",395845,"NP_990327.2"
"5139","JAKMIP1","janus kinase and microtubule interacting protein 1",422854,"XP_004936230.2"
"5140","JAKMIP1","janus kinase and microtubule interacting protein 1",422854,"XP_004936231.1"
"5141","JAKMIP2","janus kinase and microtubule interacting protein 2",416352,"XP_004945111.1"
"5142","JAKMIP2","janus kinase and microtubule interacting protein 2",416352,"XP_015149532.1"
"5143","JAKMIP3","Janus kinase and microtubule interacting protein 3",428991,"XP_426548.3"
"5144","JAM2","junctional adhesion molecule 2",418476,"XP_015154598.1"
"5145","JAM3","junctional adhesion molecule 3",419736,"XP_004948061.2"
"5146","JARID2","jumonji and AT-rich interaction domain containing 2",420839,"NP_001012880.1"
"5147","JAZF1","JAZF zinc finger 1",420633,"NP_001186547.1"
"5148","JDP2","Jun dimerization protein 2",423363,"NP_001264816.1"
"5149","JKAMP","JNK1/MAPK8 associated membrane protein",423530,"NP_001264483.1"
"5150","JMJD1C","jumonji domain containing 1C",423655,"XP_015143586.1"
"5151","JMJD4","jumonji domain containing 4",420400,"XP_015136573.1"
"5152","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase",417355,"NP_001025874.1"
"5153","JMJD7","jumonji domain containing 7",423221,"NP_001108131.1"
"5154","JMJD8","jumonji domain containing 8",426917,"NP_001265655.1"
"5155","JMY","junction mediating and regulatory protein, p53 cofactor",427182,"XP_003642959.1"
"5156","JOSD1","Josephin domain containing 1",418023,"XP_416259.1"
"5157","JPH1","junctophilin 1",420190,"XP_015138360.1"
"5158","JPH2","junctophilin 2",770867,"XP_015152208.1"
"5159","JPH3","junctophilin 3",107049107,"XP_015148143.1"
"5160","JPH3","junctophilin 3",415830,"XP_015148144.1"
"5161","JUN","Jun proto-oncogene, AP-1 transcription factor subunit",424673,"NP_001026460.1"
"5162","JUND","JunD proto-oncogene, AP-1 transcription factor subunit",107055370,"XP_015155634.1"
"5163","JUP","junction plakoglobin",429710,"NP_001254482.1"
"5164","KALRN","kalirin RhoGEF kinase",424253,"XP_015145468.1"
"5165","KANK1","KN motif and ankyrin repeat domains 1",395475,"XP_004949112.1"
"5166","KANK4","KN motif and ankyrin repeat domains 4",424684,"XP_015146641.1"
"5167","KANSL1","KAT8 regulatory NSL complex subunit 1",419961,"XP_015154860.1"
"5168","KANSL1L","KAT8 regulatory NSL complex subunit 1 like",424004,"XP_015144796.1"
"5169","KANSL1L","KAT8 regulatory NSL complex subunit 1 like",424004,"XP_015144797.1"
"5170","KANSL2","KAT8 regulatory NSL complex subunit 2",426401,"XP_015129772.1"
"5171","KANSL3","KAT8 regulatory NSL complex subunit 3",426585,"XP_015152934.1"
"5172","KANSL3","KAT8 regulatory NSL complex subunit 3",426585,"XP_015152935.1"
"5173","KAT2B","lysine acetyltransferase 2B",428441,"XP_015137289.1"
"5174","KAT5","lysine acetyltransferase 5",395413,"XP_015128510.1"
"5175","KAT6A","lysine acetyltransferase 6A",426789,"XP_424402.3"
"5176","KAT6B","lysine acetyltransferase 6B",423734,"XP_015143788.1"
"5177","KATNA1","katanin catalytic subunit A1",421626,"XP_015139553.1"
"5178","KATNAL1","katanin catalytic subunit A1 like 1",418920,"XP_004938820.1"
"5179","KATNAL2","katanin catalytic subunit A1 like 2",416384,"XP_414699.3"
"5180","KATNB1","katanin regulatory subunit B1",415631,"NP_001025730.2"
"5181","KATNBL1","katanin regulatory subunit B1 like 1",423287,"XP_015142826.1"
"5182","KAZALD1","Kazal type serine peptidase inhibitor domain 1",423856,"XP_421724.1"
"5183","KAZN","kazrin, periplakin interacting protein",426211,"XP_004947551.2"
"5184","KAZN","kazrin, periplakin interacting protein",426211,"XP_015152683.1"
"5185","KBTBD2","kelch repeat and BTB domain containing 2",420749,"XP_015137154.1"
"5186","KBTBD3","kelch repeat and BTB domain containing 3",418976,"XP_417170.1"
"5187","KBTBD4","kelch repeat and BTB domain containing 4",423180,"XP_015142497.1"
"5188","KBTBD8","kelch repeat and BTB domain containing 8",416085,"XP_004944729.1"
"5189","KBTBD11","kelch repeat and BTB domain containing 11",428648,"XP_426206.1"
"5190","KBTBD12","kelch repeat and BTB domain containing 12",427587,"XP_004944649.1"
"5191","KBTBD13","kelch repeat and BTB domain containing 13",427511,"XP_004943944.1"
"5192","KCMF1","potassium channel modulatory factor 1",770239,"XP_001233572.2"
"5193","KCNA1","potassium voltage-gated channel subfamily A member 1",428101,"XP_004938130.1"
"5194","KCNA2","potassium voltage-gated channel subfamily A member 2",395117,"NP_989794.1"
"5195","KCNA3","potassium voltage-gated channel subfamily A member 3",404303,"NP_001025549.1"
"5196","KCNA4","potassium voltage-gated channel subfamily A member 4",395721,"NP_990230.2"
"5197","KCNA6","potassium voltage-gated channel subfamily A member 6",100858067,"XP_003643199.3"
"5198","KCNA10","potassium voltage-gated channel subfamily A member 10",395116,"NP_989793.1"
"5199","KCNAB1","potassium voltage-gated channel subfamily A member regulatory beta subunit 1",395730,"NP_990237.1"
"5200","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2",396068,"XP_015152555.1"
"5201","KCNB1","potassium voltage-gated channel subfamily B member 1",428146,"XP_015152169.1"
"5202","KCNB2","potassium voltage-gated channel subfamily B member 2",431181,"XP_003640873.2"
"5203","KCNC1","potassium voltage-gated channel subfamily C member 1",423076,"XP_004941482.1"
"5204","KCNC1","potassium voltage-gated channel subfamily C member 1",423076,"XP_004941486.1"
"5205","KCNC2","potassium voltage-gated channel subfamily C member 2",772061,"XP_015138496.1"
"5206","KCNC2","potassium voltage-gated channel subfamily C member 2",772061,"XP_015138503.1"
"5207","KCNC4","potassium voltage-gated channel subfamily C member 4",419806,"XP_003642768.1"
"5208","KCND2","potassium voltage-gated channel subfamily D member 2",374143,"XP_015132111.1"
"5209","KCND3","potassium voltage-gated channel subfamily D member 3",374228,"XP_015154361.1"
"5210","KCNE2","potassium voltage-gated channel subfamily E regulatory subunit 2",427979,"XP_004934590.1"
"5211","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3",428105,"XP_425664.1"
"5212","KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4",771271,"XP_004937097.1"
"5213","KCNF1","potassium voltage-gated channel modifier subfamily F member 1",428652,"XP_426210.2"
"5214","KCNG1","potassium voltage-gated channel modifier subfamily G member 1",419347,"XP_004947317.1"
"5215","KCNG2","potassium voltage-gated channel modifier subfamily G member 2",395902,"NP_990370.1"
"5216","KCNG3","potassium voltage-gated channel modifier subfamily G member 3",421393,"XP_003641021.1"
"5217","KCNG4","potassium voltage-gated channel modifier subfamily G member 4",395901,"XP_425129.2"
"5218","KCNH1","potassium voltage-gated channel subfamily H member 1",421381,"XP_015139349.1"
"5219","KCNH2","potassium voltage-gated channel subfamily H member 2",100858122,"XP_015136636.1"
"5220","KCNH5","potassium voltage-gated channel subfamily H member 5",423514,"XP_421414.2"
"5221","KCNH6","potassium voltage-gated channel subfamily H member 6",414871,"NP_001292042.1"
"5222","KCNH7","potassium voltage-gated channel subfamily H member 7",424184,"XP_015145212.1"
"5223","KCNH8","potassium voltage-gated channel subfamily H member 8",420648,"XP_418747.2"
"5224","KCNIP1","potassium voltage-gated channel interacting protein 1",416173,"XP_003642123.1"
"5225","KCNIP1","potassium voltage-gated channel interacting protein 1",416173,"XP_003642124.1"
"5226","KCNIP2","potassium voltage-gated channel interacting protein 2",374098,"NP_989581.1"
"5227","KCNIP2","potassium voltage-gated channel interacting protein 2",374098,"XP_015144025.1"
"5228","KCNIP4","potassium voltage-gated channel interacting protein 4",395239,"NP_989886.1"
"5229","KCNJ2","potassium inwardly rectifying channel subfamily J member 2",396328,"NP_990701.1"
"5230","KCNJ3","potassium inwardly rectifying channel subfamily J member 3",396369,"NP_990735.1"
"5231","KCNJ4","potassium inwardly rectifying channel subfamily J member 4",395903,"XP_015144065.1"
"5232","KCNJ5","potassium inwardly rectifying channel subfamily J member 5",395925,"XP_004948022.1"
"5233","KCNJ6","potassium inwardly rectifying channel subfamily J member 6",427983,"XP_004934603.1"
"5234","KCNJ8","potassium inwardly rectifying channel subfamily J member 8",395973,"XP_004938046.1"
"5235","KCNJ9","potassium inwardly rectifying channel subfamily J member 9",429785,"XP_427340.2"
"5236","KCNJ10","potassium inwardly rectifying channel subfamily J member 10",100857799,"XP_015129966.1"
"5237","KCNJ11","potassium inwardly rectifying channel subfamily J member 11",428846,"XP_426402.5"
"5238","KCNJ12","potassium inwardly rectifying channel subfamily J member 12",427662,"XP_004945226.1"
"5239","KCNJ13","potassium inwardly rectifying channel subfamily J member 13",101749520,"XP_015132697.1"
"5240","KCNJ14","potassium inwardly rectifying channel subfamily J member 14",428244,"XP_004948119.1"
"5241","KCNJ15","potassium inwardly rectifying channel subfamily J member 15",427984,"XP_004934606.1"
"5242","KCNJ16","potassium inwardly rectifying channel subfamily J member 16",427812,"XP_004946298.1"
"5243","KCNK1","potassium two pore domain channel subfamily K member 1",421519,"XP_419561.1"
"5244","KCNK2","potassium two pore domain channel subfamily K member 2",770954,"XP_001234270.2"
"5245","KCNK4","potassium two pore domain channel subfamily K member 4",423536,"XP_004936519.1"
"5246","KCNK5","potassium two pore domain channel subfamily K member 5",421424,"XP_419478.2"
"5247","KCNK9","potassium two pore domain channel subfamily K member 9",428382,"XP_003641103.2"
"5248","KCNK10","potassium two pore domain channel subfamily K member 10",428902,"XP_004941911.1"
"5249","KCNK12","potassium two pore domain channel subfamily K member 12",428554,"XP_003640952.3"
"5250","KCNK13","potassium two pore domain channel subfamily K member 13",772210,"XP_001235376.1"
"5251","KCNK15","potassium two pore domain channel subfamily K member 15",419191,"XP_417369.4"
"5252","KCNK16","potassium two pore domain channel subfamily K member 16",772022,"XP_001235224.1"
"5253","KCNK17","potassium two pore domain channel subfamily K member 17",421423,"XP_419477.3"
"5254","KCNK18","potassium two pore domain channel subfamily K member 18",771448,"XP_015144349.1"
"5255","KCNMA1","potassium calcium-activated channel subfamily M alpha 1",374065,"XP_015143635.1"
"5256","KCNMA1","potassium calcium-activated channel subfamily M alpha 1",374065,"XP_015143667.1"
"5257","KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1",395301,"NP_989933.1"
"5258","KCNMB4","potassium calcium-activated channel subfamily M regulatory beta subunit 4",417852,"NP_001186559.1"
"5259","KCNN2","potassium calcium-activated channel subfamily N member 2",395579,"NP_990129.1"
"5260","KCNQ1","potassium voltage-gated channel subfamily Q member 1",423090,"XP_015142166.1"
"5261","KCNQ2","potassium voltage-gated channel subfamily Q member 2",428151,"XP_004947155.2"
"5262","KCNQ3","potassium voltage-gated channel subfamily Q member 3",420325,"XP_015138603.1"
"5263","KCNQ5","potassium voltage-gated channel subfamily Q member 5",421866,"XP_015140250.1"
"5264","KCNS2","potassium voltage-gated channel modifier subfamily S member 2",430463,"XP_004940031.1"
"5265","KCNT1","potassium sodium-activated channel subfamily T member 1",395248,"XP_015134801.1"
"5266","KCNT2","potassium sodium-activated channel subfamily T member 2",429058,"XP_015145869.1"
"5267","KCNV1","potassium voltage-gated channel modifier subfamily V member 1",420278,"XP_418390.4"
"5268","KCTD1","potassium channel tetramerization domain containing 1",421087,"XP_015133481.1"
"5269","KCTD2","potassium channel tetramerization domain containing 2",422116,"NP_001007914.1"
"5270","KCTD3","potassium channel tetramerization domain containing 3",421359,"XP_004935376.1"
"5271","KCTD4","potassium channel tetramerization domain containing 4",769400,"NP_001186255.1"
"5272","KCTD5","potassium channel tetramerization domain containing 5",416589,"XP_414889.1"
"5273","KCTD6","potassium channel tetramerization domain containing 6",416067,"XP_414405.1"
"5274","KCTD7","potassium channel tetramerization domain containing 7",417547,"NP_001034358.1"
"5275","KCTD8","potassium channel tetramerization domain containing 8",770600,"XP_001233940.1"
"5276","KCTD9","potassium channel tetramerization domain containing 9",419526,"NP_001012857.1"
"5277","KCTD10","potassium channel tetramerization domain containing 10",416900,"XP_004945676.1"
"5278","KCTD12","potassium channel tetramerization domain containing 12",425504,"XP_004940827.1"
"5279","KCTD12","potassium channel tetramerization domain containing 12",107051871,"XP_015132653.1"
"5280","KCTD14","potassium channel tetramerization domain containing 14",419029,"NP_001264766.1"
"5281","KCTD15","potassium channel tetramerization domain containing 15",415779,"XP_004944294.1"
"5282","KCTD16","potassium channel tetramerization domain containing 16",427644,"XP_015149548.1"
"5283","KCTD17","potassium channel tetramerization domain containing 17",418047,"XP_004937814.2"
"5284","KCTD18","potassium channel tetramerization domain containing 18",424069,"XP_015144985.1"
"5285","KCTD19","potassium channel tetramerization domain containing 19",769782,"XP_015134680.1"
"5286","KCTD20","potassium channel tetramerization domain containing 20",419814,"XP_015154627.1"
"5287","KCTD21","potassium channel tetramerization domain containing 21",428098,"XP_004938990.1"
"5288","KDELR3","KDEL endoplasmic reticulum protein retention receptor 3",418026,"NP_001013014.1"
"5289","KDM1A","lysine demethylase 1A",419571,"XP_417719.5"
"5290","KDM1B","lysine demethylase 1B",420829,"XP_015131437.1"
"5291","KDM2B","lysine demethylase 2B",416844,"XP_015131080.1"
"5292","KDM3A","lysine demethylase 3A",422917,"XP_015141395.1"
"5293","KDM3B","lysine demethylase 3B",100859412,"XP_004945121.1"
"5294","KDM3B","lysine demethylase 3B",100859412,"XP_015149526.1"
"5295","KDM4B","lysine demethylase 4B",428354,"XP_015155670.1"
"5296","KDM4C","lysine demethylase 4C",427231,"XP_003643040.1"
"5297","KDM5A","lysine demethylase 5A",418148,"XP_004937981.2"
"5298","KDM5A","lysine demethylase 5A",418148,"XP_416379.3"
"5299","KDM6A","lysine demethylase 6A",418556,"XP_015156148.1"
"5300","KDM7A","lysine demethylase 7A",418110,"XP_015142945.1"
"5301","KDM8","lysine demethylase 8",416583,"XP_414883.3"
"5302","KDSR","3-ketodihydrosphingosine reductase",420902,"XP_015137662.1"
"5303","KEL","Kell metallo-endopeptidase (Kell blood group)",418306,"XP_015149585.1"
"5304","KEL","Kell metallo-endopeptidase (Kell blood group)",418306,"XP_015149602.1"
"5305","KERA","keratocan",373995,"NP_989507.1"
"5306","KHDRBS1","KH RNA binding domain containing, signal transduction associated 1",374071,"NP_989561.1"
"5307","KHDRBS2","KH RNA binding domain containing, signal transduction associated 2",428643,"XP_426201.2"
"5308","KHDRBS3","KH RNA binding domain containing, signal transduction associated 3",420317,"XP_001231272.1"
"5309","KHDRBS3","KH RNA binding domain containing, signal transduction associated 3",420317,"XP_418427.1"
"5310","KHK","ketohexokinase",107053156,"XP_015140518.1"
"5311","KIAA0040","KIAA0040",424434,"XP_003641711.1"
"5312","KIAA0100","KIAA0100",417573,"XP_415819.4"
"5313","KIAA0232","KIAA0232",422860,"XP_015141310.1"
"5314","KIAA0319","KIAA0319",428476,"XP_015131430.1"
"5315","KIAA0319","KIAA0319",428476,"XP_015131431.1"
"5316","KIAA0319L","KIAA0319 like",419634,"XP_004947826.1"
"5317","KIAA0355","KIAA0355",415782,"XP_015147947.1"
"5318","KIAA0408","KIAA0408",101750381,"XP_004940298.2"
"5319","KIAA0513","KIAA0513",772040,"XP_001235240.2"
"5320","KIAA0513","KIAA0513",772040,"XP_004944335.1"
"5321","KIAA0556","KIAA0556",426427,"XP_015150084.1"
"5322","KIAA0586","KIAA0586",423540,"NP_001035797.1"
"5323","KIAA0753","KIAA0753",417681,"XP_015151683.1"
"5324","KIAA0825","KIAA0825",427110,"XP_015136032.1"
"5325","KIAA0895","KIAA0895",420739,"XP_003640774.1"
"5326","KIAA0895L","KIAA0895 like",415660,"XP_015134642.1"
"5327","KIAA0930","KIAA0930",418241,"XP_416465.4"
"5328","KIAA1107","KIAA1107",424504,"XP_015146171.1"
"5329","KIAA1109","KIAA1109",422670,"XP_004941269.2"
"5330","KIAA1143","KIAA1143",420709,"NP_001006369.1"
"5331","KIAA1191","KIAA1191",416230,"XP_015149247.1"
"5332","KIAA1210","KIAA1210",422374,"XP_004940901.1"
"5333","KIAA1217","KIAA1217",420501,"XP_004939287.1"
"5334","KIAA1217","KIAA1217",420501,"XP_015137522.1"
"5335","KIAA1324","KIAA1324",429496,"XP_015154274.1"
"5336","KIAA1324L","KIAA1324 like",418645,"XP_416843.5"
"5337","KIAA1328","KIAA1328",426890,"XP_015132784.1"
"5338","KIAA1522","KIAA1522",419665,"XP_004947895.2"
"5339","KIAA1549","KIAA1549",100857885,"XP_015143070.1"
"5340","KIAA1549L","KIAA1549 like",421598,"XP_015141811.1"
"5341","KIAA1614","KIAA1614",424414,"XP_015145975.1"
"5342","KIAA1671","KIAA1671",768701,"NP_001073206.1"
"5343","KIAA1671","KIAA1671",768701,"XP_015130825.1"
"5344","KIAA1671","KIAA1671",768701,"XP_015130827.1"
"5345","KIAA1755","KIAA1755",101750666,"XP_004947245.2"
"5346","KIAA1841","KIAA1841",421196,"NP_001186348.1"
"5347","KIAA2013","KIAA2013",428195,"XP_015152693.1"
"5348","KIAA2026","KIAA2026",427227,"XP_015135673.1"
"5349","KIDINS220","kinase D interacting substrate 220",421924,"XP_015131553.1"
"5350","KIF1A","kinesin family member 1A",424849,"XP_015132578.1"
"5351","KIF1A","kinesin family member 1A",424849,"XP_015132588.1"
"5352","KIF1B","kinesin family member 1B",419449,"XP_015152643.1"
"5353","KIF1B","kinesin family member 1B",419449,"XP_015152645.1"
"5354","KIF1B","kinesin family member 1B",419449,"XP_417608.4"
"5355","KIF2A","kinesin family member 2A",427156,"XP_015132792.1"
"5356","KIF2C","kinesin family member 2C",424583,"XP_015146777.1"
"5357","KIF3A","kinesin family member 3A",416332,"XP_015149514.1"
"5358","KIF3B","kinesin family member 3B",419284,"NP_001012852.1"
"5359","KIF3C","kinesin family member 3C",429432,"XP_426988.3"
"5360","KIF4A","kinesin family member 4A",395823,"XP_015133678.1"
"5361","KIF5C","kinesin family member 5C",408046,"NP_001280234.1"
"5362","KIF6","kinesin family member 6",428572,"XP_003640993.3"
"5363","KIF7","kinesin family member 7",415488,"XP_015147531.1"
"5364","KIF9","kinesin family member 9",420405,"XP_418511.3"
"5365","KIF11","kinesin family member 11",423809,"NP_001026401.1"
"5366","KIF12","kinesin family member 12",427829,"XP_004946612.1"
"5367","KIF13A","kinesin family member 13A",420832,"XP_015131440.1"
"5368","KIF15","kinesin family member 15",420708,"XP_015137220.1"
"5369","KIF16B","kinesin family member 16B",421260,"XP_419330.3"
"5370","KIF18A","kinesin family member 18A",421607,"NP_001186355.1"
"5371","KIF18B","kinesin family member 18B",419968,"NP_001026099.1"
"5372","KIF20A","kinesin family member 20A",416220,"NP_001012801.1"
"5373","KIF21A","kinesin family member 21A",417692,"XP_004934816.1"
"5374","KIF21A","kinesin family member 21A",417692,"XP_004934818.1"
"5375","KIF21A","kinesin family member 21A",417692,"XP_015131286.1"
"5376","KIF21A","kinesin family member 21A",417692,"XP_415936.4"
"5377","KIF21B","kinesin family member 21B",421178,"XP_004934871.1"
"5378","KIF23","kinesin family member 23",415567,"XP_015147593.1"
"5379","KIF23","kinesin family member 23",415567,"XP_015147597.1"
"5380","KIF24","kinesin family member 24",427398,"XP_424972.3"
"5381","KIF25","kinesin family member 25",421563,"XP_004935583.2"
"5382","KIF26A","kinesin family member 26A",423489,"XP_421394.4"
"5383","KIF26B","kinesin family member 26B",100859813,"XP_015139479.1"
"5384","KIF27","kinesin family member 27",427456,"XP_003643076.2"
"5385","KIFAP3","kinesin associated protein 3",424395,"XP_015145925.1"
"5386","KIFC3","kinesin family member C3",415630,"XP_413996.5"
"5387","KIN","Kin17 DNA and RNA binding protein",419109,"XP_417297.3"
"5388","KIRREL3","kirre like nephrin family adhesion molecule 3",419719,"XP_003642655.2"
"5389","KIT","KIT proto-oncogene, receptor tyrosine kinase",378783,"NP_989692.1"
"5390","KITLG","KIT ligand",396028,"NP_001098785.1"
"5391","KL","klotho",418909,"XP_417105.2"
"5392","KLB","klotho beta",425467,"XP_003641293.2"
"5393","KLC4","kinesin light chain 4",769965,"XP_004940207.1"
"5394","KLF3","Kruppel like factor 3",429811,"XP_015141159.1"
"5395","KLF4","Kruppel like factor 4",770254,"XP_001233584.3"
"5396","KLF6","Kruppel like factor 6",420463,"NP_001026140.1"
"5397","KLF7","Kruppel like factor 7",429011,"XP_004942700.2"
"5398","KLF8","Kruppel like factor 8",430697,"XP_004940833.2"
"5399","KLF9","Kruppel like factor 9",770238,"XP_003643067.1"
"5400","KLF10","Kruppel like factor 10",420255,"XP_015138476.1"
"5401","KLF11","Kruppel like factor 11",421934,"NP_001006417.1"
"5402","KLF12","Kruppel like factor 12",418817,"XP_003640604.1"
"5403","KLF13","Kruppel like factor 13",427493,"XP_425065.1"
"5404","KLF15","Kruppel like factor 15",427588,"XP_425161.3"
"5405","KLHDC1","kelch domain containing 1",423568,"XP_421458.1"
"5406","KLHDC2","kelch domain containing 2",423569,"NP_001012608.1"
"5407","KLHDC3","kelch domain containing 3",421251,"XP_015138891.1"
"5408","KLHDC4","kelch domain containing 4",415831,"NP_001025749.1"
"5409","KLHDC8A","kelch domain containing 8A",419829,"XP_004934989.1"
"5410","KLHDC8B","kelch domain containing 8B",416054,"XP_015148818.1"
"5411","KLHDC10","kelch domain containing 10",427683,"XP_425257.2"
"5412","KLHL1","kelch like family member 1",418799,"XP_416994.2"
"5413","KLHL2","kelch like family member 2",422422,"NP_001264749.1"
"5414","KLHL3","kelch like family member 3",416303,"XP_015149443.1"
"5415","KLHL4","kelch like family member 4",422265,"XP_420250.2"
"5416","KLHL5","kelch like family member 5",425121,"XP_015141151.1"
"5417","KLHL5","kelch like family member 5",425121,"XP_422912.4"
"5418","KLHL6","kelch like family member 6",424762,"NP_001026474.2"
"5419","KLHL7","kelch like family member 7",420612,"NP_001012875.1"
"5420","KLHL8","kelch like family member 8",422589,"XP_015131991.1"
"5421","KLHL10","kelch like family member 10",420033,"NP_001264227.1"
"5422","KLHL11","kelch like family member 11",428313,"XP_003642870.1"
"5423","KLHL12","kelch like family member 12",101748977,"XP_015154220.1"
"5424","KLHL13","kelch like family member 13",422226,"NP_001026287.1"
"5425","KLHL14","kelch like family member 14",421100,"NP_001012884.1"
"5426","KLHL15","kelch like family member 15",418598,"NP_001137142.1"
"5427","KLHL17","kelch like family member 17",419432,"XP_004947495.1"
"5428","KLHL18","kelch like family member 18",420406,"XP_015136574.1"
"5429","KLHL20","kelch like family member 20",425091,"NP_001026500.1"
"5430","KLHL21","kelch like family member 21",428175,"XP_015152478.1"
"5431","KLHL22","kelch like family member 22",416940,"XP_415234.1"
"5432","KLHL23","kelch like family member 23",429025,"XP_015145181.1"
"5433","KLHL28","kelch like family member 28",423596,"XP_015132273.1"
"5434","KLHL29","kelch like family member 29",770342,"XP_015140536.1"
